[2015-07-02 11:29:17] WeeChat 1.0-dev (compiled on Jul 21 2014 09:18:10)
[2015-07-02 11:29:17] Reading configuration file sec.conf
[2015-07-02 11:29:17] Reading configuration file weechat.conf
[2015-07-02 11:29:17] Reading configuration file plugins.conf
[2015-07-02 11:29:17] Reading configuration file alias.conf
[2015-07-02 11:29:17] Reading configuration file charset.conf
[2015-07-02 11:29:17] Reading configuration file exec.conf
[2015-07-02 11:29:17] Reading configuration file irc.conf
[2015-07-02 11:29:17] Reading configuration file logger.conf
[2015-07-02 11:29:17] Reading configuration file buffers.conf
[2015-07-02 11:29:17] Reading configuration file iset.conf
[2015-07-02 11:29:17] Reading configuration file relay.conf
[2015-07-02 11:29:17] Reading configuration file script.conf
[2015-07-02 11:29:17] Reading configuration file trigger.conf
[2015-07-02 11:29:17] Reading configuration file xfer.conf
[2015-07-02 11:29:21] irc: connecting to server chat.freenode.net/6667...
[2015-07-02 20:58:29] irc: connecting to server chat.freenode.net/6667...
[2015-07-02 21:30:51] irc: connecting to server chat.freenode.net/6667...
[2015-07-06 09:14:28] irc: connecting to server chat.freenode.net/6667...
[2015-07-06 21:27:05] irc: connecting to server chat.freenode.net/6667...
[2015-07-07 08:53:15] irc: connecting to server chat.freenode.net/6667...
[2015-07-07 21:23:22] irc: connecting to server chat.freenode.net/6667...
[2015-07-08 09:15:54] irc: connecting to server chat.freenode.net/6667...
[2015-07-08 17:03:19] irc: connecting to server chat.freenode.net/6667...
[2015-07-09 09:22:55] irc: connecting to server chat.freenode.net/6667...
[2015-07-09 17:28:23] irc: connecting to server chat.freenode.net/6667...
[2015-07-10 09:02:14] irc: connecting to server chat.freenode.net/6667...
[2015-07-10 17:30:51] irc: connecting to server chat.freenode.net/6667...
[2015-07-11 08:59:25] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 02:12:08] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 03:13:04] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 05:14:36] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 08:16:47] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 08:17:07] irc: connecting to server chat.freenode.net/6667...
[2015-07-12 10:18:20] irc: connecting to server chat.freenode.net/6667...
[2015-07-13 09:21:23] irc: connecting to server chat.freenode.net/6667...
[2015-07-13 22:41:39] irc: connecting to server chat.freenode.net/6667...
[2015-07-14 08:26:53] irc: connecting to server chat.freenode.net/6667...
[2015-07-14 09:36:48] irc: connecting to server chat.freenode.net/6667...
[2015-07-14 16:40:28] irc: connecting to server chat.freenode.net/6667...
[2015-07-15 08:19:34] irc: connecting to server chat.freenode.net/6667...
[2015-07-16 09:00:07] irc: connecting to server chat.freenode.net/6667...
[2015-07-16 09:00:28] irc: connecting to server chat.freenode.net/6667...
[2015-07-16 09:59:16] irc: connecting to server chat.freenode.net/6667...
[2015-07-16 17:10:52] irc: connecting to server chat.freenode.net/6667...
[2015-07-17 09:09:30] irc: connecting to server chat.freenode.net/6667...
[2015-07-17 14:15:23] irc: connecting to server chat.freenode.net/6667...
[2015-07-17 18:19:47] irc: connecting to server chat.freenode.net/6667...
[2015-07-17 18:52:09] irc: connecting to server chat.freenode.net/6667...
[2015-07-20 09:23:13] irc: connecting to server chat.freenode.net/6667...
[2015-07-20 17:22:13] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 11:39:57] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 17:06:20] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 18:07:56] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 19:08:14] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 21:09:27] irc: connecting to server chat.freenode.net/6667...
[2015-07-21 22:10:24] irc: connecting to server chat.freenode.net/6667...
[2015-07-22 01:13:01] irc: connecting to server chat.freenode.net/6667...
[2015-07-22 05:16:15] irc: connecting to server chat.freenode.net/6667...
[2015-07-22 09:15:49] irc: connecting to server chat.freenode.net/6667...
[2015-07-22 19:20:06] irc: connecting to server chat.freenode.net/6667...
[2015-07-23 09:07:47] irc: connecting to server chat.freenode.net/6667...
[2015-07-23 19:21:29] irc: connecting to server chat.freenode.net/6667...
[2015-07-23 19:53:50] irc: connecting to server chat.freenode.net/6667...
